INFO 2021-09-04 00:42:26,186 - Generate manga information
DEBUG 2021-09-04 00:42:26,188 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:27,517 - https://hentai2read.com:443 "GET /slut_girl/ HTTP/1.1" 200 None
INFO 2021-09-04 00:42:27,521 - Receive response from https://hentai2read.com/slut_girl/ with status code is 200. Generating soup
INFO 2021-09-04 00:42:27,591 - Generate manga information
DEBUG 2021-09-04 00:42:27,592 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:28,340 - https://hentai2read.com:443 "GET /tonari_to_tonari_no_oneechan/ HTTP/1.1" 200 None
INFO 2021-09-04 00:42:28,351 - Receive response from https://hentai2read.com/tonari_to_tonari_no_oneechan/ with status code is 200. Generating soup
INFO 2021-09-04 00:42:28,426 - Generate manga information
DEBUG 2021-09-04 00:42:28,428 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:29,167 - https://hentai2read.com:443 "GET /twins_mother/ HTTP/1.1" 200 None
INFO 2021-09-04 00:42:29,179 - Receive response from https://hentai2read.com/twins_mother/ with status code is 200. Generating soup
INFO 2021-09-04 00:42:29,251 - Generate manga information
DEBUG 2021-09-04 00:42:29,252 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:30,759 - https://hentai2read.com:443 "GET /wonderful_feeling/ HTTP/1.1" 200 None
INFO 2021-09-04 00:42:30,769 - Receive response from https://hentai2read.com/wonderful_feeling/ with status code is 200. Generating soup
INFO 2021-09-04 00:42:30,844 - Generate manga information
DEBUG 2021-09-04 00:42:30,845 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 00:42:31,607 - https://hentai2read.com:443 "GET /scarlet_desire/ HTTP/1.1" 200 None
INFO 2021-09-04 00:42:31,617 - Receive response from https://hentai2read.com/scarlet_desire/ with status code is 200. Generating soup
INFO 2021-09-04 00:42:31,691 - Generate manga information
DEBUG 2021-09-04 00:42:31,692 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 18:38:43,557 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 18:38:44,609 - https://hentai2read.com:443 "GET /hentai-list/all/any/all/early-added/ HTTP/1.1" 200 None
INFO 2021-09-04 18:38:44,619 - Receive response from https://hentai2read.com/hentai-list/all/any/all/early-added/ with status code is 200. Generating soup
DEBUG 2021-09-04 18:38:44,886 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 18:38:46,267 - https://hentai2read.com:443 "GET /hentai-list/all/any/all/early-added/1 HTTP/1.1" 200 None
INFO 2021-09-04 18:38:46,291 - Receive response from https://hentai2read.com/hentai-list/all/any/all/early-added/1 with status code is 200. Generating soup
DEBUG 2021-09-04 18:38:46,560 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 18:38:47,257 - https://hentai2read.com:443 "GET /an_angel_duty/ HTTP/1.1" 200 None
INFO 2021-09-04 18:38:47,260 - Receive response from https://hentai2read.com/an_angel_duty/ with status code is 200. Generating soup
INFO 2021-09-04 18:38:47,338 - Generate manga information
DEBUG 2021-09-04 18:49:41,553 - Starting new HTTPS connection (1): hentai2read.com:443
DEBUG 2021-09-04 18:49:42,407 - https://hentai2read.com:443 "GET /hentai-list/all/any/all/early-added/ HTTP/1.1" 200 None
INFO 2021-09-04 18:49:42,418 - Receive response from https://hentai2read.com/hentai-list/all/any/all/early-added/ with status code is 200. Generating soup
